Product Number,ERP PRICE,SHEIN PRICE,SLEEVE,NECKLINE,LENGTH,FIT,DETAIL,STYLE MOOD,PIECE,MODEL,NOTES,TOP1_CHEST,TOP1_LENGTH,TOP1_SLEEVE,TOP2_CHEST,TOP2_LENGTH,TOP2_SLEEVE,BOTTOM_WAIST,BOTTOM_HIP,BOTTOM_LENGTH,BOTTOM_INSEAM,TEMU PRICE
BT5484,8.25,20,Sleeveless,Cami,Waist Top,Slim,Racer Back,Casual,3PCS,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5515,7.5,20,Sleeveless,Cami,Crop Top,Slim,,Casual,3PCS,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP31071,5.75,12.5,,,Full,Slim,,Activewear,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT51297,4.0,8,Sleeveless,Spaghetti,Crop Top,Slim,Criss cross,Activewear,3PCS,Caucasian,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP61162,7.0,16,,,Full,Slim,"Wide Leg, Pocket",Activewear,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP71146,8.5,18,,,Full,Regular,Pocket,Activewear,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT61064,8.75,18,Long,High,Crop Top,Slim,Button/Zipper,Activewear,Single,Caucasian,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP71016,9.75,19.5,Long,Round,Crop Top,Slim,,Activewear,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD2855,5.75,8.89,Sleeveless,Scoop,Midi Dress,Slim,Slit,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD2981,7.75,18.5,Sleeveless,Cami,Maxi Dress,Regular,"Tie Dye, Racer Back",Lounge,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD2981X,9.75,21.75,Sleeveless,Cami,Maxi Dress,Regular,"Tie Dye, Racer Back",Lounge,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3069,7.5,10.89->11.79,Short,Round,Midi Dress,Slim,"Ruched, Drawstring, Slit",Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3159,7.75,17,Sleeveless,Spaghetti,Maxi Dress,Slim,Slit,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3214,5.5,14,Short,Round,Mini Dress,Slim,Tie Dye,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3214X,7.0,16,Short,Round,Mini Dress,Slim,Tie Dye,Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3293,8.5,19.75,Short,Round,Maxi Dress,Loose,Pocket,Lounge,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD3990,7.5,15,Sleeveless,Spaghetti,Maxi Dress,Slim,"Slit, Backless, Criss cross",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5179,7.5,16.75,Short,Crew,Midi Dress,Slim,"Fringe, Asymmetrical",Casual,Single,"Caucasian, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5195,8.0,17.25,Sleeveless,Halter,Midi Dress,Slim,Fringe,Casual,Single,Caucasian,Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5262,6.75,15.75,Sleeveless,Cami,Mini Dress,Regular,Tier,Casual,Single,"Latina/Black, Caucasian","Video, Size Chart",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5362,7.25,16.5,Short,Round,Midi Dress,Slim,"Tie, Slit",Sexy,Single,"Caucasian, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5364,7.5,18.25,Sleeveless,Cami,Maxi Dress,Slim,,Casual,Single,Caucasian,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5455,7.75,17,Sleeveless,Cami,Maxi Dress,Slim,"Tie Dye, Racer Back",Casual,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5455X,9.75,19.5,Sleeveless,Cami,Maxi Dress,Slim,"Tie Dye, Racer Back",Casual,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5456,7.75,17,Sleeveless,Round,Maxi Dress,Slim,Tie Dye,Casual,Single,"Latina/Black, Caucasian",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5456X,9.75,19.5,Sleeveless,Round,Maxi Dress,Slim,Tie Dye,Casual,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD5517,6.75,15.75,Sleeveless,Double Strap,Maxi Dress,Loose,Slit,Lounge,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP2599X,10.5,22.75,Sleeveless,Spaghetti,Full,Loose,Pocket,Lounge,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP2893,5.0,11,Short,Scoop,Shorts,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3365,3.0,11.5->12.5,,,Knee,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3416,6.25,16.5,,,Shorts,Regular,"Drawstring, Pocket",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3562,7.0,14.5,,,Full,Regular,"Slit, Pocket",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP3858,6.25,16.25,,,Full,Slim,"Wide Leg, Mesh",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5166,5.75,14.5,,,Capri,Slim,Pocket,Formal,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5182,9.5,19.25,Sleeveless,V Neck,Full,Regular,Wide Leg,Casual,Single,"Caucasian, Latina/Black",Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5187,8.75,18.25,Sleeveless,Spaghetti,Full,Regular,"Button/Zipper, Wide Leg",Lounge,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5187X,10.5,20.65,Sleeveless,Spaghetti,Full,Regular,"Button/Zipper, Wide Leg",Lounge,Single,Plus,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5350,6.5,15.5,,,Full,Loose,"Wide Leg, Tie, Pleated",Lounge,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5398,5.0,14.29,,,Full,Regular,"Drawstring, Pocket",Casual,Single,Caucasian,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5398X,6.75,17,,,Full,Regular,"Drawstring, Pocket",Casual,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5399,5.0,14.29,,,Full,Regular,Pocket,Casual,Single,Caucasian,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5399X,6.75,17,,,Full,Regular,Pocket,Casual,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP5542,6.0,16,,,Full,Loose,"Wide Leg, Pocket",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS5489,5.5,14.25,,,Maxi Skirt,Loose,"Slit, Mesh",Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2566,5.0,13,Long,Round,Crop Top,Slim,Button/Zipper,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2662,3.5,12.25,Long,Mock,Waist Top,Regular,,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2845,4.25,12.5,Short,Round,,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2847,3.0,11,Short,Round,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2954,4.25,12.5,Long,Round,Crop Top,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2986,5.0,14.5,Long,Round,,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT2988,3.75,14,Long,Round,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3325X,6.25,15,Long,V Neck,Crop Top,Slim,Wrap,Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3333,3.0,10.89,Short,Round,Crop Top,Slim,,Casual,Single,Latina/Black,"Video, Size Chart",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3335,5.5,14.5,Short,V Neck,Waist Top,Slim,"Ruched, Drawstring",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3335X,7.0,16.25->18.25,Short,V Neck,Waist Top,Slim,"Ruched, Drawstring",Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3339,5.0,14.5,Long,Split,Crop Top,Slim,"Button/Zipper, Slit, Lettuce Trim",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3357,3.75,11.75,Short,Round,Waist Top,Loose,,Lounge,Single,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3357X,5.0,13.5,Short,Round,Waist Top,Loose,,Lounge,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3544,5.5,14,Short,Off Shoulder,Waist Top,Regular,"Ruched, Puff, Stripe",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3544X,7.0,16,Short,Off Shoulder,Waist Top,Regular,"Ruched, Puff, Shirred",Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3579,3.0,11.5,Long,Round,Crop Top,Slim,,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3649,6.0,16,Long,Cut Out,,Slim,Cut Out,Sexy,Single,Latina/Black,Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3932,5.5,14,Sleeveless,One Shoulder,,Slim,Cut Out,Sexy,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3952,4.0,12,Short,Crew,Long Top,Loose,Twist,Lounge,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
