SPU,Goods name,Number of SKCs for Sale,Sales Volume,Gross Merchandise Volume,가격 제안,Product image link
i250319621476,2pcs Pajama Sets For Women Solid Long Sleeve Tee & Pants PJ Set,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/v4/j/spmp/2025/04/25/d5/1745528399d87bfcf74ad7ca5b47c618666d838c6f.jpg
i250329274079,Summer Solid Color Scoop Neck Short Sleeve Romper For Women Casual Fitted Slim Fit Bodycon Romper,16,5,51.35,판매 양호 – 현재 가격 유지 또는 소폭 인상,https://img.ltwebstatic.com/v4/j/spmp/2025/06/12/e6/174966092354cf84b3acf43d02feab8378030136e4.jpg
i250410171276,Women's Sleeveless Bodycon Romper Square Neck Tank Top For Summer Basic Loungewear,4,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/31/57/1748642202e97bc9abc742d50b77b349ef688c5559.jpg
z24071015759,Off Shoulder Smocking Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/10/40/1720552456282b4f6d09bad6463f5d153992bf2b72.jpg
z24071019871,Plaid Printed V-Neck Ruffle Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/10/d6/1720626248dc39a23a435366b9d27196a31475eb26.jpg
z24071033404,Waist Strap Long Jacket,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/10/b8/17205431318c15a2172f6a37e725ba0179af32ebc2.jpg
z24071275674,Gingham Check Ruffle Mini Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/12/aa/17207406488781cdfbaca69102380f7e024a2da441.jpg
z24071293733,Buttoned Butterfly Sleeve Maxi Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/12/bd/17207349793af93b8460b278add550d7f4693aaaf4.jpg
z24071307295,Button Closure Woven Pants,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/13/24/17208039198a6a34c928a7a90720992bd9722e4584.jpg
z24071345508,Sweet Heart Top And Pants Sets,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/13/e0/172080317933afa6f26a0640c02a970d5ab21b8e2f.jpg
z24071651545,BMG Athletic French Terry Graphic Sweatshirt,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/16/2a/172105981255c67f79ad1d2e8ee3fc9b4f0e62fffb.jpg
z24071755858,Stripe Pocket Top,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/17/d7/17211477887143325042633e4d3e2b20da57f6e3e0.jpg
z24071999877,Front Tie Satin Midi Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/07/19/bd/172131979028259c31d61be3ee0d61588d77acce3b.jpg
z24091738800,Long Sleeve Layered Rib Knit T-Shirt,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/09/17/5f/17265198239a3872a64743bc95dadec8a1507882eb.jpg
z24091777121,GOAT Greatest Of All Time Ribbed Long Sleeve Graphic Tee,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/09/17/ef/172651880799fe83b4f83158953fcf41a4c2f40a86.jpg
z24091834110,Sweater-Knit Fuzzy Mock Neck Split Thigh Dress,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/v4/j/spmp/2025/05/03/60/1746201601f31a6b9561079fee3771837ae42f5add.jpg
z24091913154,Women's Ribbed Knit Long Sleeve Snap Button Down Crop Top For Spring Summer,7,21,275.62,판매 양호 – 현재 가격 유지 또는 소폭 인상,https://img.ltwebstatic.com/v4/j/spmp/2025/06/06/e2/1749156602b7c85364ece4efc905c6999340d44e33.jpg
z24091976591,Lettuce Edge Lace Trim Long Sleeve Rib Knit Crop Top,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/09/19/e4/172667817771ff3c5d1a666b7c902714e3485dedbf.jpg
z24092026616,"Women's Solid Color Mesh Biker Shorts For Summer, Sexy Casual Beach Cover Up Pants",2,87,1039.78,판매 양호 – 현재 가격 유지 또는 소폭 인상,https://img.ltwebstatic.com/v4/j/spmp/2025/05/15/aa/17472643900b0c76cb9dfee5049e7c2249cc16da8f.jpg
z24092049415,Women's Soft French Terry Casual Shorts For Spring Summer,5,2,30.06,판매 저조 – 가격 재조정 또는 프로모션 추천,https://img.ltwebstatic.com/v4/j/spmp/2025/05/28/b2/1748383736f5568dc69bece2d27cc76ced5f1cbb8f.jpg
z24092066001,Women's Sexy Sheer Mesh Long Sleeve Bodysuit For Summer,3,1,13.36,판매 저조 – 가격 재조정 또는 프로모션 추천,https://img.ltwebstatic.com/v4/j/spmp/2025/07/02/23/17514031688966d145416847bfac55b9e475261050.jpg
z24092501341,Women's Mock Neck Solid Color Long Sleeve Casual T Shirt Top,9,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/28/f7/174838393943ad13bd9172a1128fb337173addbb89.jpg
z24100137771,2pcs Women's Rib Knit Cardigan & Cami Midi Bodycon Dress Casual Loungewear,13,4,65.93,판매 저조 – 가격 재조정 또는 프로모션 추천,https://img.ltwebstatic.com/v4/j/spmp/2025/05/02/e2/174613645818ad448b22b8e8fd7a4182d92bb5fcb0.jpg
z24100146116,3pcs Women's Soft French Terry Cropped Cami Top With Zip-Up Hoodie Jacket And Joggers Set,6,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/02/d3/17461386762c37e45faa70ae17e2408713dfb869c5.jpg
z24100251007,Plus Size Sexy Sheer Mesh Long Sleeve Bodysuit - USA,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/images3_spmp/2024/10/02/83/172780181670912c3bf45d3cb78f14582f885c68ff.jpg
z24120456929,Women's Rib Knit Front Cutout Long Sleeve Bodysuit,6,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/02/e3/1746135869b5ab41491757294a293128eec4b8c3fc.jpg
z24120634643,Ribbed Mock Neck Bodycon Mini Dress - USA,0,0,0.0,재고 없음 – 판매 대상 아님,https://img.ltwebstatic.com/v4/j/spmp/2025/05/02/f3/174613383455ac7f60aaf156f44e9cc03eb1ca6668.jpg
z24121038821,Women's Ribbed Button Front Split Long Sleeve Crop Top,10,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/06/12/cb/1749663002f93116b9c54d4686aeb0ab4f6c4a2d43.jpg
z24121827878,Women's Soft Casual Drawstring Waist Slant Pocket Sweatpants For All Season,7,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/29/eb/174846430851a95ea85dc332562f4f6c9d7e2a7e93.jpg
z24121892710,Plus Size Women's Bustier Crop Cami Top & Slant Pocket Straight Pants Sets,4,0,0.0,판매 없음 – 가격 인하 또는 스타일 변경 제안,https://img.ltwebstatic.com/v4/j/spmp/2025/05/02/ac/1746130889707a6412a3b7905358f9bc3d1664b0e0.jpg
